Cluster,uplift_score,cluster
1,0.7573548781613706,1
1,0.7560024366437681,1
1,0.8404113819180967,1
1,0.8274416843589985,1
3,0.8913252294499552,3
1,0.8299362320163013,1
1,0.8873366290966915,1
3,0.7618937093085767,3
3,0.8474578980911409,3
1,0.8897408700781437,1
3,0.8463806172246291,3
3,0.8127432692159087,3
1,0.7636722729132868,1
3,0.8125512778530197,3
3,0.7438878592754059,3
3,0.8558236588644235,3
3,0.8215372115740829,3
2,0.8079087974161325,2
1,0.8506498174423647,1
0,0.7849452625421833,0
3,0.8374665471936675,3
1,0.8762178876139997,1
3,0.8426160451592084,3
2,0.7737988097823643,2
1,0.8734563390848322,1
2,0.7424075474146763,2
1,0.7981488431865329,1
1,0.7921231161704636,1
1,0.8633184000902276,1
3,0.8901459996881755,3
1,0.8460204904015225,1
3,0.8044683106683639,3
1,0.8338332289141872,1
3,0.7524082874678601,3
1,0.7583930586410252,1
1,0.7822834610389089,1
3,0.8015748115480583,3
1,0.8894373847638377,1
1,0.8792560862610417,1
1,0.8090619416152185,1
0,0.7442349357766256,0
1,0.8930471026868672,1
1,0.8004806583971071,1
3,0.8367616258847062,3
3,0.7822894682286239,3
1,0.8327313072173987,1
1,0.8377817431665833,1
